id,category,name,price,detail,purchase_link,image,sort_order,reserved_by_name,reserved_by_phone,confirmed_at
16,Eletro,Air fryer,,Para preparar receitas com praticidade no dia a dia.,https://www.mercadolivre.com.br/air-fryer-philco-55l-revestimento-redstone-1500w-paf55b/p/MLB49952088?pdp_filters=item_id%3AMLB4317772143&matt_tool=38524122#origin=whatsapp&sid=whatsapp&wid=MLB4317772143,IMGS/produtos/16.jpeg,15,,,
17,Cozinha,Escorredor de louca,,"Ajuda a organizar pratos, copos e talheres apos a lavagem.",https://www.mercadolivre.com.br/escorredor-de-louca-inox-20-pratos-2-andares-porta-talheres-prateado/p/MLB36202148?pdp_filters=item_id%3AMLB4100648425&matt_tool=38524122#origin=whatsapp&sid=whatsapp&wid=MLB4100648425,IMGS/produtos/17.jpeg,16,,,
18,Cozinha,Lixeira de cozinha,,Item pratico para manter a cozinha organizada.,https://www.mercadolivre.com.br/dispenser-sabao-detergente-lixeira-e-rodinho-kit-cozinha/up/MLBU757567821?pdp_filters=item_id%3AMLB3280727197&matt_tool=38524122#origin=whatsapp&sid=whatsapp&wid=MLB3280727197,IMGS/produtos/18.jpeg,17,,,
19,Cozinha,Tabua de corte,,Essencial para apoiar o preparo das refeicoes.,https://www.mercadolivre.com.br/tabua-de-vidro-temperado-pcarne-churrasco-higienica-fume/up/MLBU2173927220?pdp_filters=item_id%3AMLB2678350207&matt_tool=38524122#origin=whatsapp&sid=whatsapp&wid=MLB2678350207,IMGS/produtos/19.png,18,,,
20,Cozinha,Jogo de facas,,Conjunto para o preparo das refeicoes da casa.,https://www.mercadolivre.com.br/jogo-de-facas-faqueiro-9-pecas-plenus-aco-inox-tramontina/p/MLB28408264?pdp_filters=item_id%3AMLB3782589243&matt_tool=38524122#origin=whatsapp&sid=whatsapp&wid=MLB3782589243,IMGS/produtos/20.jpeg,19,,,
21,Cozinha,Conjunto de utensilios de cozinha,,Conjunto pratico para o preparo das refeicoes do dia a dia.,https://www.mercadolivre.com.br/conjunto-utensilios-profissional-10-pecas-cozinha-silicone/up/MLBU1729594100?pdp_filters=item_id%3AMLB5636036574&matt_tool=38524122#origin=whatsapp&sid=whatsapp&wid=MLB5636036574,IMGS/produtos/21.jpeg,20,,,
22,Cozinha,Escorredor de arroz/macarrao,,Ajuda no preparo e escorrimento de arroz e macarrao.,https://www.mercadolivre.com.br/kit-escorredor-de-macarrao-24cm--escorredor-arroz-inox-26cm/up/MLBU2220575429?pdp_filters=item_id%3AMLB3175145613&matt_tool=38524122#origin=whatsapp&sid=whatsapp&wid=MLB3175145613,IMGS/produtos/22.jpeg,21,,,
23,Cozinha,Tigela grande,,"Util para servir, misturar e preparar receitas maiores.",https://www.mercadolivre.com.br/conjunto-3-bacias-tigelas-saladeiras-bowl-inox-3-litros/up/MLBU803087994?pdp_filters=item_id%3AMLB4540747558&matt_tool=38524122#origin=whatsapp&sid=whatsapp&wid=MLB4540747558,IMGS/produtos/23.jpeg,22,,,
24,Mesa,Toalha de mesa,,Peca para compor e proteger a mesa das refeicoes.,https://www.mercadolivre.com.br/toalha-de-mesa-jacquard-6-lugares-admirare-cor-silver/p/MLB28824623?pdp_filters=item_id%3AMLB4289065607&matt_tool=38524122#origin=whatsapp&sid=whatsapp&wid=MLB4289065607,IMGS/produtos/24.jpeg,23,,,
25,Eletro,Chaleira eletrica,,Pratica para aquecer agua com rapidez no dia a dia.,https://www.mercadolivre.com.br/chaleira-eletrica-2l-inox-automatica-aquecimento-rapido/up/MLBU3828948159?pdp_filters=item_id%3AMLB6429240088&matt_tool=38524122#origin=whatsapp&sid=whatsapp&wid=MLB6429240088,IMGS/produtos/25.jpeg,24,,,
26,Cozinha,Panos de prato,,Essenciais para a rotina e organizacao da cozinha.,https://www.mercadolivre.com.br/kit-10-pano-cozinha-louca-grande-xadrez-branco-alta-absorcao/up/MLBU3661991473?pdp_filters=item_id%3AMLB4355455435&matt_tool=38524122#origin=whatsapp&sid=whatsapp&wid=MLB4355455435,IMGS/produtos/26.jpeg,25,,,
27,Cozinha,Porta temperos,,Ajuda a manter os temperos organizados e ao alcance.,https://www.mercadolivre.com.br/porta-temperos-e-condimentos-giratorio-9-potes-vidro-preto-solar/p/MLB66067381?pdp_filters=item_id%3AMLB6362014218&matt_tool=38524122#origin=whatsapp&sid=whatsapp&wid=MLB6362014218,IMGS/produtos/27.jpeg,26,,,
28,Casa,Jogo de cama casal,,Conjunto para trazer conforto e completar o quarto.,https://www.mercadolivre.com.br/jogo-de-lencol-casal-padrao-4-pcs-percal-600-fios-egipcio/up/MLBU3547767615?pdp_filters=item_id%3AMLB5920449146&matt_tool=38524122#origin=whatsapp&sid=whatsapp&wid=MLB5920449146,IMGS/produtos/28.jpeg,27,,,
29,Casa,Travesseiros,,Par de travesseiros para mais conforto na cama.,https://www.mercadolivre.com.br/kit-c2-travesseiros-luxo-matelado-fibra-antialergica-50x70-branco/p/MLB64904437?pdp_filters=item_id%3AMLB6195001116&matt_tool=38524122#origin=whatsapp&sid=whatsapp&wid=MLB6195001116,IMGS/produtos/29.jpeg,28,,,
30,Cozinha,Porta talheres organizador,,Organizador pratico para manter a gaveta em ordem.,https://www.mercadolivre.com.br/porta-talheres-organizador-gaveta-com-extensor-8-divisorias/up/MLBU3675394059?pdp_filters=item_id%3AMLB6057087548&matt_tool=38524122#origin=whatsapp&sid=whatsapp&wid=MLB6057087548,IMGS/produtos/30.jpeg,29,,,
31,Casa,Cobertor,,Cobertor para deixar as noites mais confortaveis.,"https://produto.mercadolivre.com.br/MLB-4040388707?attributes=FABRIC_DESIGN:RnJpbyBJbnRlbnNvIEhvdGVsIFJlY2hlaW8gRHV2ZXQgTWFuZ2EgRXN0YW1wYSBLaXQ=,COLOR_SECONDARY_COLOR:QmVnZQ==&matt_tool=38524122#origin=share&sid=share&action=whatsapp",IMGS/produtos/31.jpeg,30,,,
32,Casa,Tolha de banho,,Jogo para banho e rosto com uso no dia a dia.,https://produto.mercadolivre.com.br/MLB-5385849760-jogo-kit-4-pecas-tolha-de-banho-rosto-capri-gigante-algodo-_JM?matt_tool=38524122&attributes=COLOR_SECONDARY_COLOR%3AUm9zYSBSb23DoyAvIE9mZiBXaGl0ZQ%3D%3D#origin=whatsapp&sid=whatsapp,IMGS/produtos/32.jpeg,31,,,
33,Banheiro,Kit saboneteira,,Kit para organizar e complementar o lavabo.,https://produto.mercadolivre.com.br/MLB-4198550637-kit-lavabo-banheiro-bandeja-sabonete-liquido-escova-3-pecas-_JM?matt_tool=38524122#origin=whatsapp&sid=whatsapp,IMGS/produtos/33.jpeg,32,,,
34,Banheiro,Tapete de banheiro,,Conjunto para deixar o banheiro mais confortavel e seguro.,https://www.mercadolivre.com.br/jogo-tapete-banheiro-2-pecas-antiderrapante-macio-absorvente/up/MLBU3936269858?pdp_filters=item_id%3AMLB6687742952&matt_tool=38524122#origin=whatsapp&sid=whatsapp&wid=MLB6687742952,IMGS/produtos/34.jpeg,33,,,
35,Banheiro,Lixeira de banheiro,,Item funcional para organizar o banheiro com praticidade.,https://www.mercadolivre.com.br/kit-banheiro-luxo-lixeira-inox-3l-escova-com-suporte-cor-cinza/p/MLB48479950?pdp_filters=item_id%3AMLB4345379339&matt_tool=38524122#origin=whatsapp&sid=whatsapp&wid=MLB4345379339,IMGS/produtos/35.jpeg,34,,,
36,Lavanderia,Cesto de roupa suja,,Ajuda a organizar roupas de forma pratica na lavanderia.,https://www.mercadolivre.com.br/cesto-de-roupa-suja-bambu-dobravel-com-tampa-alcas-72-litros/up/MLBU3726935279?pdp_filters=item_id%3AMLB4421996357&matt_tool=38524122#origin=whatsapp&sid=whatsapp&wid=MLB4421996357,IMGS/produtos/36.jpeg,35,,,
37,Lavanderia,Varal,,Varal para secagem pratica das roupas no dia a dia.,https://produto.mercadolivre.com.br/MLB-6205251934-varal-de-roupas-parede-resistente-articulado-60-kg-reforcado-_JM?matt_tool=38524122&attributes=COLOR_SECONDARY_COLOR%3AUHJldG8%3D#origin=whatsapp&sid=whatsapp,IMGS/produtos/37.jpeg,36,,,
38,Lavanderia,Ferro de passar roupa,,Ferro a vapor para facilitar o cuidado com as roupas.,https://www.mercadolivre.com.br/ferro-de-passar-roupas-a-vapor-philips-walita-dst5040-serie-5000-1470w-preto/p/MLB24125129?pdp_filters=item_id%3AMLB3546429381&matt_tool=38524122#origin=whatsapp&sid=whatsapp&wid=MLB3546429381,IMGS/produtos/38.jpeg,37,,,
39,Lavanderia,Tabua de passar roupa,,Base pratica para passar roupas com mais conforto.,https://produto.mercadolivre.com.br/MLB-2963831888-mesa-passadeira-de-passar-roupa-dobravel-extra-forte-grande-_JM?matt_tool=38524122#origin=whatsapp&sid=whatsapp,IMGS/produtos/39.jpeg,38,,,
40,Lavanderia,Mop,,Item para limpeza pratica dos ambientes da casa.,https://www.mercadolivre.com.br/mop-nybc-mop-giratorio-plus-com-balde-centrifuga-cinza/p/MLB50921911?pdp_filters=item_id%3AMLB5031588890&matt_tool=38524122#origin=whatsapp&sid=whatsapp&wid=MLB5031588890,IMGS/produtos/40.jpeg,39,,,
